[10:53:42.944] [Main]全局初始化
[10:53:43.330] [Main]配置文件初始化完成
[10:53:43.455] [Main]版本检测完成
[10:53:48.582] [masc]Viewport3D初始化
[10:53:48.589] [Viewport3D]初始化完成
[10:53:48.799] [masc]物品列表json读取完成
[10:53:53.127] [masc]Viewport3D初始化
[10:53:53.132] [Viewport3D]初始化完成
[10:53:53.142] [masc]物品列表json读取完成
[10:54:2.726] [masc]Viewport3D初始化
[10:54:2.731] [Viewport3D]初始化完成
[10:54:2.740] [masc]物品列表json读取完成
[10:54:5.165] [masc]Viewport3D初始化
[10:54:5.170] [Viewport3D]初始化完成
[10:54:5.180] [masc]物品列表json读取完成
[10:54:12.439] [Main]正常关闭
