[2020-5-23--0:28:23.89] 全局初始化
[2020-5-23--0:28:23.307] 测试访问成功
[2020-5-23--0:28:23.321] 配置文件初始化完成
[2020-5-23--0:28:23.483] 版本检测完成
[2020-5-23--0:28:24.765] ==========MASC==========
[2020-5-23--0:28:24.773] 环境初始化
[2020-5-23--0:28:24.779] Viewport3D初始化完成
[2020-5-23--0:28:25.24] 物品json读取完成
[2020-5-23--0:28:56.920] ==========MASC==========
[2020-5-23--0:28:56.926] 环境初始化
[2020-5-23--0:28:56.931] Viewport3D初始化完成
[2020-5-23--0:28:56.945] 物品json读取完成
[2020-5-23--0:29:2.762] ==========MASC==========
[2020-5-23--0:29:2.769] 环境初始化
[2020-5-23--0:29:2.778] Viewport3D初始化完成
[2020-5-23--0:29:2.789] 物品json读取完成
[2020-5-23--0:29:7.729] ==========MASC==========
[2020-5-23--0:29:7.735] 环境初始化
[2020-5-23--0:29:7.744] Viewport3D初始化完成
[2020-5-23--0:29:7.755] 物品json读取完成
[2020-5-23--0:29:18.22] 正常关闭
